Time,1 D C,5 D C,10 D C,15 D C,20 D C,25 D C,30 D C,35 D C,40 D C,45 D C,50 D C,55 D C,60 D C,65 D C,70 D C,75 D C,80 D C,85 D C,90 D C,95 D C,99 D C
05/01/2022,2.800768632,2.786002482,2.771236332,2.756470182,2.741704032,2.726937882,2.698357782,2.676704071,2.637022069,2.588447382,2.531381839,2.460078532,2.376960824,2.280623532,2.179574542,2.103573472,2.058230595,2.037872796,2.034346866,2.038397882,2.349381268
06/01/2022,2.742716825,2.728256734,2.713796643,2.699336553,2.684876462,2.670416372,2.642428654,2.621223762,2.582364253,2.534796378,2.478913638,2.409088242,2.327693322,2.233352823,2.134398286,2.059972497,2.015569446,1.995633605,1.992180757,1.996147808,2.300685411
07/01/2022,2.300742102,2.28861218,2.276482259,2.264352338,2.252222417,2.240092495,2.216614855,2.198827022,2.166229523,2.126326967,2.079449443,2.020876051,1.952597504,1.873459492,1.790450969,1.728018515,1.690770787,1.674047504,1.671151065,1.674478846,1.929941779
08/01/2022,2.200092693,2.188493413,2.176894133,2.165294854,2.153695574,2.142096294,2.119645718,2.102636041,2.071464568,2.033307609,1.988480813,1.932469801,1.867178202,1.791502201,1.71212501,1.652423757,1.616805487,1.600813789,1.598044059,1.601226261,1.845513585
09/01/2022,2.270543479,2.25857277,2.246602062,2.234631353,2.222660644,2.210689935,2.187520453,2.169966096,2.137796459,2.098417648,2.05215542,1.994350838,1.926968489,1.84886921,1.766950225,1.705337233,1.668578404,1.652074625,1.649216203,1.652500305,1.904610133
10/01/2022,1.917649971,1.907539779,1.897429588,1.887319396,1.877209205,1.867099014,1.84753059,1.832704575,1.805534822,1.772276364,1.733204326,1.684383876,1.627474259,1.561513365,1.492326431,1.440289484,1.409243804,1.395305083,1.392890924,1.395664602,1.608590895
11/01/2022,1.845836781,1.836105202,1.826373622,1.816642043,1.806910463,1.797178884,1.778343269,1.764072466,1.737920181,1.705907204,1.668298357,1.621306161,1.566527726,1.503036971,1.436440987,1.386352747,1.356469682,1.343052946,1.340729194,1.343399002,1.548351516
12/01/2022,1.829702394,1.820055878,1.810409362,1.800762846,1.791116329,1.781469813,1.76279884,1.748652778,1.722729089,1.690995935,1.653715826,1.607134388,1.552834768,1.489898983,1.423885112,1.374234692,1.344612834,1.331313373,1.329009932,1.331656404,1.534817436
01/01/2023,1.62482279,1.616256435,1.607690081,1.599123726,1.590557372,1.581991017,1.565410712,1.552848646,1.529827743,1.501647887,1.46854219,1.427176675,1.378957217,1.32306862,1.264446605,1.220355755,1.194050783,1.182240519,1.180195005,1.18254514,1.362957362
02/01/2023,1.557457323,1.549246131,1.541034939,1.532823747,1.524612555,1.516401364,1.500508481,1.48846724,1.466400789,1.439389275,1.407656147,1.368005654,1.321785384,1.268213939,1.212022404,1.169759569,1.144545206,1.133224598,1.131263892,1.13351659,1.306448886
03/01/2023,1.467008985,1.459274653,1.451540321,1.443805988,1.436071656,1.428337324,1.413367411,1.402025457,1.381240501,1.355797663,1.325907417,1.288559601,1.245023543,1.194563226,1.141634978,1.10182653,1.078076475,1.067413305,1.065566465,1.067688339,1.230577702
04/01/2023,1.011681438,1.006347674,1.001013909,0.995680145,0.99034638,0.985012616,0.974689037,0.966867378,0.952533618,0.934987681,0.914374715,0.888618845,0.858595429,0.823796892,0.787296416,0.759843641,0.743465084,0.736111529,0.734837908,0.736301198,0.848633262
05/01/2023,0.979248918,0.974086143,0.968923369,0.963760595,0.95859782,0.953435046,0.943442421,0.935871509,0.921997261,0.905013812,0.885061657,0.86013147,0.831070545,0.797387581,0.762057239,0.735484546,0.719631054,0.712513239,0.711280448,0.712696828,0.821427746
06/01/2023,0.955262079,0.950225768,0.945189456,0.940153145,0.935116833,0.930080522,0.920332667,0.912947206,0.89941281,0.882845373,0.863381948,0.83906243,0.810713357,0.777855462,0.743390541,0.71746875,0.702003591,0.695060128,0.693857534,0.69523922,0.801306759
07/01/2023,0.934399985,0.929473663,0.92454734,0.919621017,0.914694694,0.909768372,0.900233401,0.893009232,0.879770415,0.863564797,0.844526437,0.820738035,0.793008081,0.760867774,0.727155538,0.701799856,0.686672443,0.679880619,0.678704288,0.6800558,0.783806916
08/01/2023,0.923699809,0.918829899,0.91395999,0.90909008,0.904220171,0.899350261,0.88992448,0.882783037,0.869695823,0.853675782,0.834855437,0.811339446,0.783927038,0.752154782,0.718828598,0.693763273,0.67880909,0.672095042,0.670932183,0.672268217,0.774831239
